GENE	CHROM POSITION	library_15
A1CF	6_9326978_9353647	7.89121
A2LD1	1_143201605_143232932	0.00000
A2M	1_75681859_75711590	1.39543
A2ML1	1_75531237_75565003	2.07038
A2ML2	1_75595554_75629175	1.76308
A2ML3	1_random_232501_239213	0.80389
A2ML4,PSMC5	27_1671190_1704881	104.40700
A4GNT	9_3606103_3612432	0.00000
AAAS	Un_25959876_25965433	49.35520
AACS	15_4444354_4481664	60.43580
AADACL2	9_22908811_22916670	20.03420
AADACL3	21_5300654_5303392	0.00000
AADACL4	21_5258210_5262269	0.00000
AADAT	4_24690960_24706017	3.70309
AAGAB	10_18347969_18367858	0.00000
AAK1	22_28078_84585	6.45404
AAMP	7_22066970_22071465	10.70020
AANAT	18_4348386_4352215	0.00000
AARS	11_1165617_1178012	97.23370
AARS2	3_29557965_29574363	4.74072
AARSD1	27_5088478_5094979	8.46762
AASDH	4_64394278_64417345	0.94949
AASDHPPT	1_180331931_180354887	2.34901
AASS	1_22639821_22668902	1.52905
AATF	19_8399834_8441249	22.12390
AATK	18_9570047_9579265	0.78165
ABAT	14_10058440_10101782	232.28700
ABCA1	Z_54549995_54641344	1.05327
ABCA12	7_4208934_4308492	0.61820
ABCA13	2_79916754_80094787	0.00000
ABCA2	17_418467_451680	10.36660
ABCA3,LOC101749037,LOC770114	14_13567402_13601255	43.22770
ABCA4	8_12595974_12682727	0.34282
ABCA5	18_8229934_8256104	0.00000
ABCA7	28_2822974_2835051	2.32099
ABCA8	18_8184567_8205383	0.00000
ABCA9	18_8206963_8229398	0.00000
ABCB10	3_39379043_39406369	2.75506
ABCB11	7_18363026_18412545	0.63514
ABCB1LA	2_20547073_20588511	8.39693
ABCB1LB	2_20595674_20646077	79.09660
ABCB6	7_21731058_21735973	4.78648
ABCB7	4_12469216_12505877	12.25200
ABCB8	2_306229_319100	14.31420
ABCB9	15_5207425_5220723	6.52718
ABCC1	14_7628433_7676063	24.86290
ABCC10	3_30345665_30360240	2.03579
ABCC13	1_97373097_97406938	2.28756
ABCC2	6_21623909_21638388	58.23120
