CHROM POSITION	GENE	library_15
10_10039233_10066330	FGF7	0.00000
10_10069221_10084562	FAM227B	0.00000
10_10084598_10090009	LOC770318	4.79209
10_10160588_10167589	SPATA5L1	8.60571
10_10170160_10170230	MIR147-1	0.00000
10_10180552_10195170	SLC30A4	61.61210
10_10196790_10202569	PLDN	13.35390
10_10205432_10217756	SQRDL	9.44847
10_10218225_10220526	ITGB1BP3	1169.18000
10_10220986_10231197	LOC100859848	3.33594
10_10235271_10263082	SPPL2A	58.80050
10_10272812_10325885	TRPM7	7.41903
10_10325966_10333473	LOC101747474	0.00000
10_10330703_10353834	USP8	18.01070
10_10361821_10375438	GABPB1	14.87900
10_10377700_10387198	HDC	0.00000
10_10400602_10413630	GATM	0.00000
10_10424006_10557220	PDE8A	14.33930
10_10562058_10600469	LOC415456,MIR3540,WHDC1	25.62170
10_10564988_10585218	FSD2	0.00000
10_10609663_10660911	HOMER2	4.64058
10_1066811_1069203	SENP8	2.85541
10_10671733_10672396	LOC101748249	0.00000
10_10672686_10675907	FAM103A1	19.19320
10_10690418_10694977	C10H15ORF40	7.77791
10_10695061_10708346	BTBD1	30.96120
10_1071024_1096683	GRAMD2,PKM2	738.43200
10_10716605_10735648	TM6SF1	0.86765
10_10744436_10758744	HDGFRP3	0.00000
10_10790203_10865960	BNC1	0.00000
10_10909299_10952467	SH3GL3	0.69893
10_10959325_10971103	LMNA	1.17579
10_1097287_1106648	PARP6	5.32027
10_10980796_11159360	ADAMTSL3	0.07074
10_1108385_1118370	BRUNOL6	5.22530
10_11158626_11167706	FAM154B	0.09452
10_11167728_11223779	EFTUD1	16.54020
10_1119693_1128948	HEXA	7.32747
10_11264488_11264841	-	32.97150
10_11265470_11265801	-	28.16770
10_113319_131190	LOC101748001,LOC101748385	0.00000
10_11353239_11380819	LOC101749085	0.00000
10_1136687_1215221	ARIH1	46.74300
10_11501529_11512234	LOC101749124	0.00000
10_11513940_11521955	LOC101749170	0.00000
10_11540827_11546184	LOC101749215	0.00000
10_11576127_11593457	TMC3	0.10004
10_11594616_11598865	STARD5	22.50390
10_11600452_11641278	IL16	0.21618
10_11651636_11656729	C10H15ORF26	0.00000
